"pressure"|"pascal"|"Pa","pascal"
"pressure"|"millipascal"|"mPa","millipascal"|"0.001"
"pressure"|"hectopascal"|"hPa","hectopascal"|"0.01"
"pressure"|"kilopascal"|"kPa","kilopascal"|"1000.0"
"pressure"|"megapascal"|"MPa","megapascal"|"1000000.0"
"pressure"|"millibar"|"mbar","mb","millibar"|"100.0"
"pressure"|"decibar"|"dbar","decibar"|"10000.0"
"pressure"|"bar"|"bar"|"100000.0"
"pressure"|"standardAtmosphere"|"atm","standardatmosphere"|"101325.0"
"pressure"|"poundPerSquareInch"|"psi","poundpersquareinch"|"6894.7572932"
